2024-06-15 17:16:16.236 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:10.243 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:10.247 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:10.248 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:10.331 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:10.343 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:10.343 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:47.921 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:47.925 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:47.925 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:48.023 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:18:48.028 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:18:48.028 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:35.093 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:35.098 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:35.098 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:35.198 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:35.229 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:35.229 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:54.686 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:54.691 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:54.691 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:54.783 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:20:54.787 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:20:54.787 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:22:16.906 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:22:16.911 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:22:16.911 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:22:16.988 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:22:16.992 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:22:16.992 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:13.766 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:13.775 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:13.775 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:13.857 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:13.861 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:13.861 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:32.085 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:32.088 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:32.088 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:32.163 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:32.168 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:32.168 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:48.367 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:48.374 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:48.374 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:48.444 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:23:48.449 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:48.449 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:19.148 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:19.161 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:19.161 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:19.244 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:19.248 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:19.248 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:39.333 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:39.349 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:39.349 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:39.431 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:28:39.435 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:39.435 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:29:00.537 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
